       Step     Time          Energy          fmax
LBFGS:   29 23:24:52      -13.209422      227.491303
LBFGS:   30 23:24:52      -13.269346      231.385197
LBFGS:   31 23:24:52      -13.338145      234.317240
LBFGS:   32 23:24:52      -13.279268      223.660065
LBFGS:   33 23:24:52      -13.231276      211.804087
LBFGS:   34 23:24:52      -13.286016      218.513012
LBFGS:   35 23:24:53      -13.349307      226.695253
LBFGS:   36 23:24:53      -13.292424      212.678938
LBFGS:   37 23:24:53      -13.245031      199.648497
LBFGS:   38 23:24:53      -13.296815      208.561058
LBFGS:   39 23:24:53      -13.356120      220.203421
LBFGS:   40 23:24:53      -13.301160      204.214607
LBFGS:   41 23:24:53      -13.254521      190.315514
LBFGS:   42 23:24:53      -13.304020      201.164350
LBFGS:   43 23:24:53      -13.360010      215.270447
LBFGS:   44 23:24:53      -13.307166      197.932973
LBFGS:   45 23:24:53      -13.261671      183.133924
LBFGS:   46 23:24:53      -13.309021      195.686104
LBFGS:   47 23:24:53      -13.362000      211.657877
LBFGS:   48 23:24:53      -13.311448      193.281727
LBFGS:   49 23:24:53      -13.267417      177.510417
LBFGS:   50 23:24:53      -13.312636      191.552604
LBFGS:   51 23:24:53      -13.362794      208.970927
LBFGS:   52 23:24:53      -13.314596      189.737187
LBFGS:   53 23:24:53      -13.272212      172.987323
LBFGS:   54 23:24:53      -13.315352      188.328412
LBFGS:   55 23:24:53      -13.362903      206.883784
LBFGS:   56 23:24:53      -13.316987      186.926527
LBFGS:   57 23:24:53      -13.276297      169.242712
LBFGS:   58 23:24:53      -13.317481      185.698145
LBFGS:   59 23:24:53      -13.362680      205.158444
LBFGS:   60 23:24:53      -13.318880      184.591355
LBFGS:   61 23:24:53      -13.279817      166.069488
LBFGS:   62 23:24:53      -13.319222      183.474507
LBFGS:   63 23:24:54      -13.362342      203.655663
LBFGS:   64 23:24:54      -13.320440      182.572437
LBFGS:   65 23:24:54      -13.282881      163.323148
LBFGS:   66 23:24:54      -13.320702      181.529914
LBFGS:   67 23:24:54      -13.362000      202.300456
LBFGS:   68 23:24:54      -13.321777      180.781596
LBFGS:   69 23:24:54      -13.285572      160.915274
LBFGS:   70 23:24:54      -13.321990      179.798991
LBFGS:   71 23:24:54      -13.361702      201.045416
LBFGS:   72 23:24:54      -13.322951      179.153154
LBFGS:   73 23:24:54      -13.287962      158.770281
LBFGS:   74 23:24:54      -13.323141      178.227553
LBFGS:   75 23:24:54      -13.361463      199.865138
LBFGS:   76 23:24:54      -13.324006      177.655370
LBFGS:   77 23:24:54      -13.290099      156.841794
LBFGS:   78 23:24:54      -13.324183      176.783651
LBFGS:   79 23:24:54      -13.361285      198.746570
LBFGS:   80 23:24:54      -13.324968      176.265774
LBFGS:   81 23:24:54      -13.292032      155.090942
LBFGS:   82 23:24:54      -13.325139      175.442063
LBFGS:   83 23:24:54      -13.361165      197.677196
LBFGS:   84 23:24:54      -13.325853      174.966406
