       Step     Time          Energy          fmax
LBFGS:   13 12:30:34      -11.395705       10.138054
LBFGS:   14 12:30:34      -11.396910       10.143118
LBFGS:   15 12:30:34      -11.382483       41.118223
LBFGS:   16 12:30:34      -11.321877       77.060340
LBFGS:   17 12:30:34      -11.387403       39.982969
LBFGS:   18 12:30:34      -11.317045       77.926707
LBFGS:   19 12:30:34      -11.159442      101.644820
LBFGS:   20 12:30:34      -10.985573      110.836798
LBFGS:   21 12:30:34      -10.831729      118.297721
LBFGS:   22 12:30:34      -10.995237      107.636252
LBFGS:   23 12:30:34      -11.000051      105.576857
LBFGS:   24 12:30:34      -11.036378      104.666768
LBFGS:   25 12:30:34      -11.012454      102.038601
LBFGS:   26 12:30:34      -11.016036       82.825003
LBFGS:   27 12:30:35      -11.119957      108.464397
LBFGS:   28 12:30:35      -11.215672      100.290223
LBFGS:   29 12:30:35      -11.170802      104.840991
LBFGS:   30 12:30:35      -11.286430       85.695279
LBFGS:   31 12:30:35      -11.348613       79.639584
LBFGS:   32 12:30:35      -11.347111       74.778828
LBFGS:   33 12:30:35      -11.351576       90.136377
LBFGS:   34 12:30:35      -11.355780       58.103061
LBFGS:   35 12:30:35      -11.358126       56.353024
LBFGS:   36 12:30:35      -11.351328       90.169402
LBFGS:   37 12:30:35      -11.357255       58.276993
LBFGS:   38 12:30:35      -11.349710       90.417331
LBFGS:   39 12:30:35      -11.346652       89.972666
LBFGS:   40 12:30:35      -11.351562       89.253635
LBFGS:   41 12:30:35      -11.362586       86.673740
LBFGS:   42 12:30:35      -11.391898       82.352267
LBFGS:   43 12:30:35      -11.441681       83.832856
LBFGS:   44 12:30:35      -11.490844       90.146819
LBFGS:   45 12:30:35      -11.521522      255.513625
LBFGS:   46 12:30:35      -11.536814       73.347982
LBFGS:   47 12:30:35      -11.513412       46.639141
LBFGS:   48 12:30:35      -11.534176       82.643810
LBFGS:   49 12:30:35      -11.425572      146.493273
LBFGS:   50 12:30:35      -11.387060      158.206029
LBFGS:   51 12:30:36      -11.225294      185.231944
LBFGS:   52 12:30:36      -11.272151      507.312494
LBFGS:   53 12:30:36      -11.366648      156.838580
LBFGS:   54 12:30:36      -11.428317      116.610549
LBFGS:   55 12:30:36      -11.310189      163.801489
LBFGS:   56 12:30:36      -11.412100      117.470239
LBFGS:   57 12:30:36      -11.310445      163.796556
LBFGS:   58 12:30:36      -11.136050      173.488246
LBFGS:   59 12:30:36      -10.953402      148.474230
LBFGS:   60 12:30:36      -10.761807      142.329340
LBFGS:   61 12:30:36      -10.637171      149.118346
LBFGS:   62 12:30:36      -10.674579      147.825462
LBFGS:   63 12:30:36      -10.880708      149.834593
LBFGS:   64 12:30:36      -10.670007      145.153090
LBFGS:   65 12:30:36      -10.516437      160.236109
LBFGS:   66 12:30:36      -10.705093      145.952010
LBFGS:   67 12:30:36      -10.924504      153.936199
LBFGS:   68 12:30:36      -10.695102      144.027505
LBFGS:   69 12:30:36      -10.642154      569.004255
LBFGS:   70 12:30:36      -10.692112      149.616248
LBFGS:   71 12:30:36      -10.743211      141.941987
LBFGS:   72 12:30:36      -10.595699      143.958692
LBFGS:   73 12:30:36      -10.671739      530.486865
LBFGS:   74 12:30:36      -10.628932      350.847613
LBFGS:   75 12:30:36      -10.837887      139.241241
LBFGS:   76 12:30:37      -10.967447      128.113157
LBFGS:   77 12:30:37      -10.769823      150.310063
LBFGS:   78 12:30:37      -10.543396      565.903844
LBFGS:   79 12:30:37      -10.796797      145.832396
LBFGS:   80 12:30:37      -11.033015      146.690271
LBFGS:   81 12:30:37      -10.666602      150.527617
LBFGS:   82 12:30:37      -10.445795      177.527581
LBFGS:   83 12:30:37      -10.251149      228.140234
LBFGS:   84 12:30:37      -10.473306      176.667666
LBFGS:   85 12:30:37      -10.421206      188.863224
LBFGS:   86 12:30:37      -10.475592      175.724343
LBFGS:   87 12:30:37      -10.478052      174.623229
LBFGS:   88 12:30:37      -10.466569      167.620129
LBFGS:   89 12:30:37      -10.402696      173.527212
LBFGS:   90 12:30:37      -10.252752      533.433876
LBFGS:   91 12:30:37      -10.384810      184.447509
LBFGS:   92 12:30:37      -10.346123      196.669834
LBFGS:   93 12:30:37      -10.474301      154.491571
LBFGS:   94 12:30:37      -10.631959      133.647681
LBFGS:   95 12:30:37      -10.794393      144.464897
LBFGS:   96 12:30:37      -10.669070      136.535033
LBFGS:   97 12:30:37      -10.607076      152.368370
LBFGS:   98 12:30:37      -10.657036      135.507768
LBFGS:   99 12:30:37      -10.694124      134.743292
LBFGS:  100 12:30:38      -10.665095      136.118568
       Step     Time          Energy          fmax
LBFGS:    0 12:30:38      -13.646666      364.529616
LBFGS:    1 12:30:38      -15.744026      540.795431
LBFGS:    2 12:30:38      -13.701870      490.933026
LBFGS:    3 12:30:38      -11.664156      435.882661
LBFGS:    4 12:30:38      -10.045364      259.057488
LBFGS:    5 12:30:38       -9.877138      148.939677
LBFGS:    6 12:30:38      -10.246075      184.549546
LBFGS:    7 12:30:38       -9.749464      203.180463
LBFGS:    8 12:30:38      -10.383358      191.818200
LBFGS:    9 12:30:38      -11.800678      247.204514
LBFGS:   10 12:30:38      -10.298946      195.416902
LBFGS:   11 12:30:38       -9.382790      209.184703
LBFGS:   12 12:30:38      -10.366894      194.911788
LBFGS:   13 12:30:38      -12.100948      111.514744
LBFGS:   14 12:30:38       -7.535669     1316.102542
LBFGS:   15 12:30:38      -12.066807      137.639070
LBFGS:   16 12:30:38      -11.952755      226.374252
LBFGS:   17 12:30:38      -12.180874       99.251499
LBFGS:   18 12:30:38      -12.466131      466.634824
LBFGS:   19 12:30:38      -12.132998      100.265386
LBFGS:   20 12:30:38      -12.057657      146.233604
LBFGS:   21 12:30:38      -12.323479      241.988657
LBFGS:   22 12:30:38      -11.441298      217.709906
LBFGS:   23 12:30:38       -9.238550      156.918546
LBFGS:   24 12:30:38       -7.857090      174.261158
LBFGS:   25 12:30:38       -9.234150      155.399355
LBFGS:   26 12:30:39      -11.417131      233.804382
LBFGS:   27 12:30:39       -9.239946      157.398285
LBFGS:   28 12:30:39       -7.889605      178.297466
LBFGS:   29 12:30:39       -9.236347      156.159835
LBFGS:   30 12:30:39      -11.395973      245.432663
LBFGS:   31 12:30:39       -9.241034      157.771716
LBFGS:   32 12:30:39       -7.917013      182.067395
LBFGS:   33 12:30:39       -9.238182      156.794543
LBFGS:   34 12:30:39      -11.378487      253.610681
LBFGS:   35 12:30:39       -9.241838      158.050641
LBFGS:   36 12:30:39       -7.939177      185.426980
LBFGS:   37 12:30:39       -9.239647      157.301185
LBFGS:   38 12:30:39      -11.364651      259.290483
